train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc,test/train
11,42,44,166,0.315,35.3868,100.0,23.810000000000002,25.0,4.0
29,88,87,210,3.086,63.5178,79.31,26.14,26.436781609195403,3.0
49,99,101,228,6.3414,46.525,79.59,40.400000000000006,33.663366336633665,2.061224489795918
69,103,105,231,11.1875,47.2644,71.00999999999999,38.83,42.857142857142854,1.5217391304347827
88,103,105,231,17.9711,43.4362,64.77000000000001,33.98,33.33333333333333,1.1931818181818181
107,103,105,234,24.2809,42.2504,62.62,30.099999999999998,40.95238095238095,0.9813084112149533
127,105,106,246,28.8851,38.8394,61.419999999999995,36.19,46.22641509433962,0.8346456692913385
147,106,107,261,34.5477,39.6497,59.86,33.96,46.728971962616825,0.7278911564625851
167,106,107,261,41.5299,38.7769,61.68,32.08,40.18691588785047,0.6407185628742516
186,108,108,264,48.3912,38.8046,50.54,34.260000000000005,46.2962962962963,0.5806451612903226
206,108,108,264,52.0308,37.7687,60.19,27.779999999999998,49.074074074074076,0.5242718446601942
224,108,108,264,59.6387,36.2078,57.14,36.11,39.81481481481482,0.48214285714285715
243,108,108,264,71.1194,37.1854,48.559999999999995,28.7,43.51851851851852,0.4444444444444444
263,108,108,264,69.2032,37.097,52.849999999999994,37.96,42.592592592592595,0.41064638783269963
283,108,108,264,78.4884,38.1436,48.06,36.11,37.03703703703704,0.38162544169611307
303,108,108,264,81.337,36.0182,57.099999999999994,39.81,56.481481481481474,0.3564356435643564
323,108,108,264,87.2315,37.8036,56.97,37.04,50.0,0.33436532507739936
343,108,108,276,98.6045,36.5692,51.019999999999996,37.04,40.74074074074074,0.31486880466472306
363,108,108,276,106.8848,36.2661,51.790000000000006,36.11,38.88888888888889,0.2975206611570248
382,108,108,276,115.458,36.3131,46.339999999999996,35.19,43.51851851851852,0.28272251308900526
402,108,109,279,123.7093,35.8979,47.760000000000005,41.67,38.53211009174312,0.27114427860696516
422,108,109,279,135.2213,37.2468,37.91,34.260000000000005,42.201834862385326,0.25829383886255924
